,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.850000381469727,312.7,No
1,5575-GNVDE,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95000076293945,1046.5,No
2,3668-QPYBK,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.849998474121094,2960.1,Yes
3,7795-CFOCW,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.29999923706055,834.2,No
4,9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.69999694824219,6953.4,Yes
5,9305-CDSKC,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.6500015258789,4134.85,Yes
6,1452-KIOVK,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.0999984741211,899.8,No
7,6713-OKOMC,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,541.5,No
8,7892-POOKP,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.80000305175781,116.85,Yes
9,6388-TABGU,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.150001525878906,7942.15,No
10,9763-GRSKD,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95000076293945,5321.25,No
11,7469-LKBCI,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.950000762939453,4156.8,No
12,8091-TTVAX,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.3499984741211,223.6,No
13,0280-XJGEX,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.69999694824219,768.45,Yes
14,5129-JLPIS,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,3765.05,No
15,3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,2157.5,No
16,8191-XWSZG,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.649999618530273,108.05,No
17,9959-WOFKT,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.69999694824219,1391.65,No
18,4190-MFLUW,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.20000076293945,1379.8,Yes
19,4183-MYFRB,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05000305175781,1273.3,No
20,8779-QRDMV,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.650001525878906,810.45,Yes
21,1680-VDCWW,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.799999237060547,1810.85,No
22,1066-JKSGK,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.149999618530273,7782.85,Yes
23,3638-WEABW,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.900001525878906,70.3,No
24,6322-HRPFA,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.599998474121094,1797.1,No
25,6865-JZNKO,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.29999923706055,377.85,No
26,6467-CHFZW,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.3499984741211,445.3,Yes
27,8665-UTDHZ,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.200000762939453,851.75,Yes
28,5248-YGIJN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,7624.2,No
29,8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.69999694824219,355.1,Yes
30,3841-NFECX,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.3499984741211,575.45,No
31,4929-XIHVW,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,906.85,No
32,6827-IEAUQ,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.1500015258789,1057.55,No
33,7310-EGVHZ,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.200000762939453,19.4,No
34,3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,1388.75,No
35,6234-RAAPL,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9000015258789,1641.3,No
36,6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.69999694824219,1375.15,Yes
37,6572-ADKRS,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.80000305175781,152.7,No
38,5380-WJKOV,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.3499984741211,185.2,Yes
39,8168-UQWWF,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.8499984741211,195.05,Yes
